"Cittadinanza (singolo paese)";"NIL (Nuclei di Identità Locale)";"Residenti"
"Macedonia, Repubblica di";"Scalo Romana (36)";5
"Macedonia, Repubblica di";"Vigentino - Q.re Fatima (38)";1
"Macedonia, Repubblica di";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";3
"Macedonia, Repubblica di";"Porta Ticinese - Conchetta (44)";3
"Macedonia, Repubblica di";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";1
"Macedonia, Repubblica di";"Giambellino (49)";5
"Macedonia, Repubblica di";"Porta Genova (50)";2
"Macedonia, Repubblica di";"Porta Magenta (51)";3
"Macedonia, Repubblica di";"Bande Nere (52)";10
"Macedonia, Repubblica di";"Lorenteggio (53)";3
"Macedonia, Repubblica di";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";1
"Macedonia, Repubblica di";"Forze Armate (56)";3
"Macedonia, Repubblica di";"De Angeli - Monte Rosa (58)";1
"Macedonia, Repubblica di";"Stadio - Ippodromi (60)";1
"Macedonia, Repubblica di";"Quinto Romano (62)";7
"Macedonia, Repubblica di";"Figino (63)";4
"Macedonia, Repubblica di";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";3
"Macedonia, Repubblica di";"Pagano (68)";1
"Macedonia, Repubblica di";"Villapizzone - Cagnola - Boldinasco (71)";3
"Macedonia, Repubblica di";"Cascina Merlata (73)";1
"Macedonia, Repubblica di";"Quarto Oggiaro - Vialba - Musocco (76)";3
"Macedonia, Repubblica di";"Bovisa (77)";1
"Macedonia, Repubblica di";"Farini (78)";3
"Macedonia, Repubblica di";"Dergano (79)";1
"Macedonia, Repubblica di";"Bovisasca (81)";1
"Macedonia, Repubblica di";"Comasina (82)";1
"Macedonia, Repubblica di";"Parco Bosco in citta' (88)";4
"Moldova";"Duomo (1)";17
"Moldova";"Brera (2)";24
"Moldova";"Guastalla (4)";14
"Moldova";"Porta Vigentina - Porta Lodovica (5)";14
"Moldova";"Porta Ticinese - Conca del Naviglio (6)";27
"Moldova";"Magenta - S.Vittore (7)";20
"Moldova";"Porta Garibaldi - Porta Nuova (9)";4
"Moldova";"Stazione Centrale - Ponte Seveso (10)";17
"Moldova";"Isola (11)";13
"Moldova";"Maciachini - Maggiolina (12)";44
"Moldova";"Greco - Segnano (13)";55
"Moldova";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";55
"Moldova";"Bicocca (15)";5
"Moldova";"Gorla - Precotto (16)";50
"Moldova";"Adriano (17)";34
"Moldova";"Cimiano - Rottole - Q.re Feltre (18)";31
"Moldova";"Padova - Turro - Crescenzago (19)";81
"Moldova";"Loreto - Casoretto - NoLo (20)";49
"Moldova";"Buenos Aires - Porta Venezia - Porta Monforte (21)";63
"Moldova";"Citta' studi (22)";48
"Moldova";"Lambrate - Ortica (23)";11
"Moldova";"Parco Forlanini - Cavriano (24)";8
"Moldova";"Corsica (25)";29
"Moldova";"XXII Marzo (26)";30
"Moldova";"Pta Romana (27)";13
"Moldova";"Umbria - Molise - Calvairate (28)";28
"Moldova";"Ortomercato (29)";12
"Moldova";"Taliedo - Morsenchio - Q.re Forlanini (30)";63
"Moldova";"Monlue' - Ponte Lambro (31)";14
"Moldova";"Triulzo Superiore (32)";4
"Moldova";"Rogoredo - Santa Giulia (33)";32
"Moldova";"Chiaravalle (34)";1
"Moldova";"Lodi - Corvetto (35)";85
"Moldova";"Scalo Romana (36)";20
"Moldova";"Morivione (37)";7
"Moldova";"Vigentino - Q.re Fatima (38)";35
"Moldova";"Quintosole (39)";2
"Moldova";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";31
"Moldova";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";53
"Moldova";"Tibaldi (43)";17
"Moldova";"Porta Ticinese - Conchetta (44)";13
"Moldova";"Moncucco - San Cristoforo (45)";18
"Moldova";"Barona (46)";26
"Moldova";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";12
"Moldova";"Giambellino (49)";64
"Moldova";"Porta Genova (50)";13
"Moldova";"Porta Magenta (51)";29
"Moldova";"Bande Nere (52)";64
"Moldova";"Lorenteggio (53)";39
"Moldova";"Muggiano (54)";5
"Moldova";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";99
"Moldova";"Forze Armate (56)";41
"Moldova";"San Siro (57)";67
"Moldova";"De Angeli - Monte Rosa (58)";20
"Moldova";"Stadio - Ippodromi (60)";20
"Moldova";"Quarto Cagnino (61)";7
"Moldova";"Quinto Romano (62)";4
"Moldova";"Figino (63)";4
"Moldova";"Trenno (64)";1
"Moldova";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";65
"Moldova";"QT 8 (66)";4
"Moldova";"Portello (67)";8
"Moldova";"Pagano (68)";11
"Moldova";"Sarpi (69)";31
"Moldova";"Ghisolfa (70)";21
"Moldova";"Villapizzone - Cagnola - Boldinasco (71)";98
"Moldova";"Maggiore - Musocco - Certosa (72)";11
"Moldova";"Cascina Merlata (73)";1
"Moldova";"Stephenson (75)";1
"Moldova";"Quarto Oggiaro - Vialba - Musocco (76)";60
"Moldova";"Bovisa (77)";26
"Moldova";"Farini (78)";7
"Moldova";"Dergano (79)";38
"Moldova";"Affori (80)";37
"Moldova";"Bovisasca (81)";14
"Moldova";"Comasina (82)";27
"Moldova";"Bruzzano (83)";17
"Moldova";"Parco Nord (84)";2
"Moldova";"Parco Bosco in citta' (88)";1
"Slovacchia";"Duomo (1)";2
"Slovacchia";"Brera (2)";3
"Slovacchia";"Guastalla (4)";2
"Slovacchia";"Porta Vigentina - Porta Lodovica (5)";1
"Slovacchia";"Porta Ticinese - Conca del Naviglio (6)";6
"Slovacchia";"Porta Garibaldi - Porta Nuova (9)";2
"Slovacchia";"Stazione Centrale - Ponte Seveso (10)";2
"Slovacchia";"Isola (11)";4
"Slovacchia";"Maciachini - Maggiolina (12)";5
"Slovacchia";"Greco - Segnano (13)";6
"Slovacchia";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";9
"Slovacchia";"Bicocca (15)";5
"Slovacchia";"Gorla - Precotto (16)";3
"Slovacchia";"Adriano (17)";1
"Slovacchia";"Cimiano - Rottole - Q.re Feltre (18)";1
"Slovacchia";"Padova - Turro - Crescenzago (19)";1
"Slovacchia";"Loreto - Casoretto - NoLo (20)";4
"Slovacchia";"Buenos Aires - Porta Venezia - Porta Monforte (21)";17
"Slovacchia";"Citta' studi (22)";4
"Slovacchia";"Lambrate - Ortica (23)";1
"Slovacchia";"Corsica (25)";3
"Slovacchia";"XXII Marzo (26)";5
"Slovacchia";"Pta Romana (27)";4
"Slovacchia";"Umbria - Molise - Calvairate (28)";4
"Slovacchia";"Rogoredo - Santa Giulia (33)";2
"Slovacchia";"Lodi - Corvetto (35)";5
"Slovacchia";"Vigentino - Q.re Fatima (38)";2
"Slovacchia";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";3
"Slovacchia";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";4
"Slovacchia";"Porta Ticinese - Conchetta (44)";10
"Slovacchia";"Moncucco - San Cristoforo (45)";3
"Slovacchia";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";3
"Slovacchia";"Porta Genova (50)";2
"Slovacchia";"Porta Magenta (51)";6
"Slovacchia";"Bande Nere (52)";5
"Slovacchia";"Lorenteggio (53)";1
"Slovacchia";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";1
"Slovacchia";"Forze Armate (56)";2
"Slovacchia";"San Siro (57)";3
"Slovacchia";"De Angeli - Monte Rosa (58)";6
"Slovacchia";"Tre Torri (59)";3
"Slovacchia";"Quarto Cagnino (61)";3
"Slovacchia";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";4
"Slovacchia";"Portello (67)";4
"Slovacchia";"Pagano (68)";1
"Slovacchia";"Sarpi (69)";4
"Slovacchia";"Ghisolfa (70)";1
"Slovacchia";"Villapizzone - Cagnola - Boldinasco (71)";11
"Slovacchia";"Maggiore - Musocco - Certosa (72)";11
"Slovacchia";"Quarto Oggiaro - Vialba - Musocco (76)";3
"Slovacchia";"Dergano (79)";2
"Slovacchia";"Affori (80)";1
"Slovacchia";"Bovisasca (81)";1
"Slovacchia";"Bruzzano (83)";2
"Bielorussia";"Duomo (1)";7
"Bielorussia";"Brera (2)";4
"Bielorussia";"Guastalla (4)";5
"Bielorussia";"Porta Vigentina - Porta Lodovica (5)";5
"Bielorussia";"Porta Ticinese - Conca del Naviglio (6)";4
"Bielorussia";"Magenta - S.Vittore (7)";3
"Bielorussia";"Stazione Centrale - Ponte Seveso (10)";9
"Bielorussia";"Isola (11)";7
"Bielorussia";"Maciachini - Maggiolina (12)";9
"Bielorussia";"Greco - Segnano (13)";11
"Bielorussia";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";11
"Bielorussia";"Bicocca (15)";4
"Bielorussia";"Gorla - Precotto (16)";4
"Bielorussia";"Adriano (17)";6
"Bielorussia";"Cimiano - Rottole - Q.re Feltre (18)";7
"Bielorussia";"Padova - Turro - Crescenzago (19)";11
"Bielorussia";"Loreto - Casoretto - NoLo (20)";14
"Bielorussia";"Buenos Aires - Porta Venezia - Porta Monforte (21)";31
"Bielorussia";"Citta' studi (22)";13
"Bielorussia";"Lambrate - Ortica (23)";2
"Bielorussia";"Parco Forlanini - Cavriano (24)";1
"Bielorussia";"Corsica (25)";7
"Bielorussia";"XXII Marzo (26)";7
"Bielorussia";"Pta Romana (27)";2
"Bielorussia";"Umbria - Molise - Calvairate (28)";14
"Bielorussia";"Taliedo - Morsenchio - Q.re Forlanini (30)";4
"Bielorussia";"Rogoredo - Santa Giulia (33)";3
"Bielorussia";"Lodi - Corvetto (35)";12
"Bielorussia";"Scalo Romana (36)";5
"Bielorussia";"Morivione (37)";1
"Bielorussia";"Vigentino - Q.re Fatima (38)";1
"Bielorussia";"Quintosole (39)";1
"Bielorussia";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";1
"Bielorussia";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";8
"Bielorussia";"Tibaldi (43)";1
"Bielorussia";"Porta Ticinese - Conchetta (44)";2
"Bielorussia";"Moncucco - San Cristoforo (45)";4
"Bielorussia";"Barona (46)";2
"Bielorussia";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";2
"Bielorussia";"Giambellino (49)";4
"Bielorussia";"Porta Genova (50)";5
"Bielorussia";"Porta Magenta (51)";4
"Bielorussia";"Bande Nere (52)";7
"Bielorussia";"Lorenteggio (53)";1
"Bielorussia";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";3
"Bielorussia";"Forze Armate (56)";5
"Bielorussia";"San Siro (57)";12
"Bielorussia";"De Angeli - Monte Rosa (58)";8
"Bielorussia";"Tre Torri (59)";1
"Bielorussia";"Stadio - Ippodromi (60)";4
"Bielorussia";"Quinto Romano (62)";1
"Bielorussia";"Trenno (64)";3
"Bielorussia";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";6
"Bielorussia";"QT 8 (66)";1
"Bielorussia";"Portello (67)";3
"Bielorussia";"Pagano (68)";12
"Bielorussia";"Sarpi (69)";19
"Bielorussia";"Ghisolfa (70)";2
"Bielorussia";"Villapizzone - Cagnola - Boldinasco (71)";15
"Bielorussia";"Maggiore - Musocco - Certosa (72)";3
"Bielorussia";"Quarto Oggiaro - Vialba - Musocco (76)";4
"Bielorussia";"Bovisa (77)";3
"Bielorussia";"Farini (78)";1
"Bielorussia";"Dergano (79)";7
"Bielorussia";"Affori (80)";6
"Bielorussia";"Bruzzano (83)";3
"Bielorussia";"Parco Bosco in citta' (88)";1
"Ceca, Repubblica";"Duomo (1)";3
"Ceca, Repubblica";"Brera (2)";4
"Ceca, Repubblica";"Guastalla (4)";1
"Ceca, Repubblica";"Porta Vigentina - Porta Lodovica (5)";2
"Ceca, Repubblica";"Porta Ticinese - Conca del Naviglio (6)";6
"Ceca, Repubblica";"Magenta - S.Vittore (7)";3
"Ceca, Repubblica";"Porta Garibaldi - Porta Nuova (9)";2
"Ceca, Repubblica";"Stazione Centrale - Ponte Seveso (10)";4
"Ceca, Repubblica";"Isola (11)";6
"Ceca, Repubblica";"Maciachini - Maggiolina (12)";3
"Ceca, Repubblica";"Greco - Segnano (13)";3
"Ceca, Repubblica";"Bicocca (15)";2
"Ceca, Repubblica";"Gorla - Precotto (16)";4
"Ceca, Repubblica";"Adriano (17)";1
"Ceca, Repubblica";"Cimiano - Rottole - Q.re Feltre (18)";1
"Ceca, Repubblica";"Padova - Turro - Crescenzago (19)";3
"Ceca, Repubblica";"Loreto - Casoretto - NoLo (20)";3
"Ceca, Repubblica";"Buenos Aires - Porta Venezia - Porta Monforte (21)";9
"Ceca, Repubblica";"Citta' studi (22)";2
"Ceca, Repubblica";"Lambrate - Ortica (23)";3
"Ceca, Repubblica";"Parco Forlanini - Cavriano (24)";2
"Ceca, Repubblica";"Corsica (25)";3
"Ceca, Repubblica";"Pta Romana (27)";1
"Ceca, Repubblica";"Taliedo - Morsenchio - Q.re Forlanini (30)";8
"Ceca, Repubblica";"Monlue' - Ponte Lambro (31)";5
"Ceca, Repubblica";"Rogoredo - Santa Giulia (33)";3
"Ceca, Repubblica";"Lodi - Corvetto (35)";5
"Ceca, Repubblica";"Morivione (37)";1
"Ceca, Repubblica";"Vigentino - Q.re Fatima (38)";4
"Ceca, Repubblica";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";4
"Ceca, Repubblica";"Tibaldi (43)";1
"Ceca, Repubblica";"Porta Ticinese - Conchetta (44)";4
"Ceca, Repubblica";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";2
"Ceca, Repubblica";"Giambellino (49)";3
"Ceca, Repubblica";"Porta Genova (50)";3
"Ceca, Repubblica";"Porta Magenta (51)";6
"Ceca, Repubblica";"Bande Nere (52)";4
"Ceca, Repubblica";"Lorenteggio (53)";1
"Ceca, Repubblica";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";1
"Ceca, Repubblica";"Forze Armate (56)";1
"Ceca, Repubblica";"San Siro (57)";2
"Ceca, Repubblica";"De Angeli - Monte Rosa (58)";6
"Ceca, Repubblica";"Tre Torri (59)";1
"Ceca, Repubblica";"Stadio - Ippodromi (60)";3
"Ceca, Repubblica";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";10
"Ceca, Repubblica";"Portello (67)";2
"Ceca, Repubblica";"Pagano (68)";1
"Ceca, Repubblica";"Sarpi (69)";12
"Ceca, Repubblica";"Ghisolfa (70)";3
"Ceca, Repubblica";"Villapizzone - Cagnola - Boldinasco (71)";7
"Ceca, Repubblica";"Maggiore - Musocco - Certosa (72)";1
"Ceca, Repubblica";"Quarto Oggiaro - Vialba - Musocco (76)";1
"Ceca, Repubblica";"Bovisa (77)";2
"Ceca, Repubblica";"Farini (78)";3
"Ceca, Repubblica";"Affori (80)";2
"Montenegro";"Duomo (1)";3
"Montenegro";"Brera (2)";5
"Montenegro";"Guastalla (4)";3
"Montenegro";"Porta Ticinese - Conca del Naviglio (6)";2
"Montenegro";"Magenta - S.Vittore (7)";4
"Montenegro";"Stazione Centrale - Ponte Seveso (10)";2
"Montenegro";"Maciachini - Maggiolina (12)";4
"Montenegro";"Greco - Segnano (13)";2
"Montenegro";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";4
"Montenegro";"Bicocca (15)";1
"Montenegro";"Adriano (17)";1
"Montenegro";"Cimiano - Rottole - Q.re Feltre (18)";3
"Montenegro";"Padova - Turro - Crescenzago (19)";1
"Montenegro";"Loreto - Casoretto - NoLo (20)";5
"Montenegro";"Buenos Aires - Porta Venezia - Porta Monforte (21)";8
"Montenegro";"Citta' studi (22)";8
"Montenegro";"Corsica (25)";1
"Montenegro";"XXII Marzo (26)";3
"Montenegro";"Pta Romana (27)";1
"Montenegro";"Umbria - Molise - Calvairate (28)";2
"Montenegro";"Taliedo - Morsenchio - Q.re Forlanini (30)";1
"Montenegro";"Rogoredo - Santa Giulia (33)";1
"Montenegro";"Lodi - Corvetto (35)";4
"Montenegro";"Scalo Romana (36)";3
"Montenegro";"Vigentino - Q.re Fatima (38)";1
"Montenegro";"Quintosole (39)";1
"Montenegro";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";10
"Montenegro";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";1
"Montenegro";"Tibaldi (43)";1
"Montenegro";"Moncucco - San Cristoforo (45)";4
"Montenegro";"Barona (46)";10
"Montenegro";"Giambellino (49)";5
"Montenegro";"Porta Magenta (51)";2
"Montenegro";"Bande Nere (52)";5
"Montenegro";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";2
"Montenegro";"Forze Armate (56)";12
"Montenegro";"San Siro (57)";4
"Montenegro";"De Angeli - Monte Rosa (58)";1
"Montenegro";"Stadio - Ippodromi (60)";1
"Montenegro";"Quarto Cagnino (61)";1
"Montenegro";"Quinto Romano (62)";1
"Montenegro";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";3
"Montenegro";"QT 8 (66)";1
"Montenegro";"Pagano (68)";1
"Montenegro";"Sarpi (69)";2
"Montenegro";"Ghisolfa (70)";1
"Montenegro";"Maggiore - Musocco - Certosa (72)";1
"Montenegro";"Cascina Merlata (73)";1
"Montenegro";"Quarto Oggiaro - Vialba - Musocco (76)";7
"Montenegro";"Bovisa (77)";1
"Montenegro";"Farini (78)";1
"Montenegro";"Dergano (79)";4
"Montenegro";"Affori (80)";2
"Montenegro";"Parco delle Abbazie (85)";10
"Serbia, Repubblica di";"Duomo (1)";20
"Serbia, Repubblica di";"Brera (2)";14
"Serbia, Repubblica di";"Guastalla (4)";11
"Serbia, Repubblica di";"Porta Vigentina - Porta Lodovica (5)";8
"Serbia, Repubblica di";"Porta Ticinese - Conca del Naviglio (6)";10
"Serbia, Repubblica di";"Magenta - S.Vittore (7)";15
"Serbia, Repubblica di";"Porta Garibaldi - Porta Nuova (9)";6
"Serbia, Repubblica di";"Stazione Centrale - Ponte Seveso (10)";19
"Serbia, Repubblica di";"Isola (11)";20
"Serbia, Repubblica di";"Maciachini - Maggiolina (12)";16
"Serbia, Repubblica di";"Greco - Segnano (13)";3
"Serbia, Repubblica di";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";10
"Serbia, Repubblica di";"Bicocca (15)";6
"Serbia, Repubblica di";"Gorla - Precotto (16)";11
"Serbia, Repubblica di";"Adriano (17)";4
"Serbia, Repubblica di";"Cimiano - Rottole - Q.re Feltre (18)";13
"Serbia, Repubblica di";"Padova - Turro - Crescenzago (19)";6
"Serbia, Repubblica di";"Loreto - Casoretto - NoLo (20)";20
"Serbia, Repubblica di";"Buenos Aires - Porta Venezia - Porta Monforte (21)";50
"Serbia, Repubblica di";"Citta' studi (22)";18
"Serbia, Repubblica di";"Lambrate - Ortica (23)";3
"Serbia, Repubblica di";"Corsica (25)";19
"Serbia, Repubblica di";"XXII Marzo (26)";13
"Serbia, Repubblica di";"Pta Romana (27)";6
"Serbia, Repubblica di";"Umbria - Molise - Calvairate (28)";10
"Serbia, Repubblica di";"Ortomercato (29)";4
"Serbia, Repubblica di";"Taliedo - Morsenchio - Q.re Forlanini (30)";4
"Serbia, Repubblica di";"Monlue' - Ponte Lambro (31)";2
"Serbia, Repubblica di";"Rogoredo - Santa Giulia (33)";2
"Serbia, Repubblica di";"Lodi - Corvetto (35)";25
"Serbia, Repubblica di";"Scalo Romana (36)";4
"Serbia, Repubblica di";"Morivione (37)";5
"Serbia, Repubblica di";"Vigentino - Q.re Fatima (38)";3
"Serbia, Repubblica di";"Quintosole (39)";3
"Serbia, Repubblica di";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";8
"Serbia, Repubblica di";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";20
"Serbia, Repubblica di";"Tibaldi (43)";5
"Serbia, Repubblica di";"Porta Ticinese - Conchetta (44)";10
"Serbia, Repubblica di";"Moncucco - San Cristoforo (45)";3
"Serbia, Repubblica di";"Barona (46)";7
"Serbia, Repubblica di";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";2
"Serbia, Repubblica di";"Giambellino (49)";17
"Serbia, Repubblica di";"Porta Genova (50)";1
"Serbia, Repubblica di";"Porta Magenta (51)";26
"Serbia, Repubblica di";"Bande Nere (52)";17
"Serbia, Repubblica di";"Muggiano (54)";1
"Serbia, Repubblica di";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";6
"Serbia, Repubblica di";"Forze Armate (56)";8
"Serbia, Repubblica di";"San Siro (57)";7
"Serbia, Repubblica di";"De Angeli - Monte Rosa (58)";16
"Serbia, Repubblica di";"Tre Torri (59)";4
"Serbia, Repubblica di";"Stadio - Ippodromi (60)";20
"Serbia, Repubblica di";"Quarto Cagnino (61)";2
"Serbia, Repubblica di";"Quinto Romano (62)";1
"Serbia, Repubblica di";"Figino (63)";2
"Serbia, Repubblica di";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";10
"Serbia, Repubblica di";"QT 8 (66)";2
"Serbia, Repubblica di";"Portello (67)";4
"Serbia, Repubblica di";"Pagano (68)";21
"Serbia, Repubblica di";"Sarpi (69)";20
"Serbia, Repubblica di";"Ghisolfa (70)";8
"Serbia, Repubblica di";"Villapizzone - Cagnola - Boldinasco (71)";6
"Serbia, Repubblica di";"Maggiore - Musocco - Certosa (72)";5
"Serbia, Repubblica di";"Cascina Merlata (73)";5
"Serbia, Repubblica di";"Quarto Oggiaro - Vialba - Musocco (76)";13
"Serbia, Repubblica di";"Bovisa (77)";6
"Serbia, Repubblica di";"Farini (78)";2
"Serbia, Repubblica di";"Dergano (79)";12
"Serbia, Repubblica di";"Affori (80)";5
"Serbia, Repubblica di";"Bovisasca (81)";7
"Serbia, Repubblica di";"Bruzzano (83)";4
"Serbia, Repubblica di";"Parco delle Abbazie (85)";2
"Serbia, Repubblica di";"Parco Bosco in citta' (88)";1
"Kosovo";"Duomo (1)";6
"Kosovo";"Brera (2)";4
"Kosovo";"Guastalla (4)";1
"Kosovo";"Porta Vigentina - Porta Lodovica (5)";2
"Kosovo";"Porta Ticinese - Conca del Naviglio (6)";3
"Kosovo";"Magenta - S.Vittore (7)";2
"Kosovo";"Porta Garibaldi - Porta Nuova (9)";1
"Kosovo";"Stazione Centrale - Ponte Seveso (10)";3
"Kosovo";"Isola (11)";2
"Kosovo";"Maciachini - Maggiolina (12)";3
"Kosovo";"Greco - Segnano (13)";4
"Kosovo";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";2
"Kosovo";"Bicocca (15)";5
"Kosovo";"Gorla - Precotto (16)";13
"Kosovo";"Adriano (17)";4
"Kosovo";"Cimiano - Rottole - Q.re Feltre (18)";3
"Kosovo";"Padova - Turro - Crescenzago (19)";5
"Kosovo";"Loreto - Casoretto - NoLo (20)";15
"Kosovo";"Buenos Aires - Porta Venezia - Porta Monforte (21)";12
"Kosovo";"Citta' studi (22)";10
"Kosovo";"Lambrate - Ortica (23)";5
"Kosovo";"Corsica (25)";2
"Kosovo";"XXII Marzo (26)";4
"Kosovo";"Pta Romana (27)";1
"Kosovo";"Umbria - Molise - Calvairate (28)";13
"Kosovo";"Taliedo - Morsenchio - Q.re Forlanini (30)";1
"Kosovo";"Monlue' - Ponte Lambro (31)";2
"Kosovo";"Triulzo Superiore (32)";3
"Kosovo";"Rogoredo - Santa Giulia (33)";2
"Kosovo";"Lodi - Corvetto (35)";8
"Kosovo";"Scalo Romana (36)";3
"Kosovo";"Vigentino - Q.re Fatima (38)";2
"Kosovo";"Quintosole (39)";1
"Kosovo";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";11
"Kosovo";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";7
"Kosovo";"Tibaldi (43)";2
"Kosovo";"Porta Ticinese - Conchetta (44)";1
"Kosovo";"Moncucco - San Cristoforo (45)";2
"Kosovo";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";2
"Kosovo";"Giambellino (49)";3
"Kosovo";"Porta Genova (50)";1
"Kosovo";"Porta Magenta (51)";1
"Kosovo";"Bande Nere (52)";5
"Kosovo";"Lorenteggio (53)";1
"Kosovo";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";9
"Kosovo";"Forze Armate (56)";14
"Kosovo";"San Siro (57)";6
"Kosovo";"Stadio - Ippodromi (60)";1
"Kosovo";"Quinto Romano (62)";1
"Kosovo";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";6
"Kosovo";"Pagano (68)";2
"Kosovo";"Sarpi (69)";1
"Kosovo";"Ghisolfa (70)";6
"Kosovo";"Villapizzone - Cagnola - Boldinasco (71)";8
"Kosovo";"Maggiore - Musocco - Certosa (72)";1
"Kosovo";"Cascina Merlata (73)";2
"Kosovo";"Roserio (74)";1
"Kosovo";"Quarto Oggiaro - Vialba - Musocco (76)";3
"Kosovo";"Bovisa (77)";3
"Kosovo";"Farini (78)";1
"Kosovo";"Dergano (79)";10
"Kosovo";"Affori (80)";8
"Kosovo";"Bovisasca (81)";2
"Kosovo";"Bruzzano (83)";7
"Kosovo";"Parco delle Abbazie (85)";1
"Kosovo";"Assiano (87)";1
"Afghanistan";"Brera (2)";5
"Afghanistan";"Guastalla (4)";1
"Afghanistan";"Porta Vigentina - Porta Lodovica (5)";4
"Afghanistan";"Porta Ticinese - Conca del Naviglio (6)";8
"Afghanistan";"Magenta - S.Vittore (7)";8
"Afghanistan";"Stazione Centrale - Ponte Seveso (10)";35
"Afghanistan";"Isola (11)";27
"Afghanistan";"Maciachini - Maggiolina (12)";62
"Afghanistan";"Greco - Segnano (13)";6
"Afghanistan";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";8
"Afghanistan";"Bicocca (15)";11
"Afghanistan";"Gorla - Precotto (16)";37
"Afghanistan";"Adriano (17)";30
"Afghanistan";"Cimiano - Rottole - Q.re Feltre (18)";1
"Afghanistan";"Padova - Turro - Crescenzago (19)";29
"Afghanistan";"Loreto - Casoretto - NoLo (20)";98
"Afghanistan";"Buenos Aires - Porta Venezia - Porta Monforte (21)";31
"Afghanistan";"Citta' studi (22)";6
"Afghanistan";"Lambrate - Ortica (23)";17
"Afghanistan";"Parco Forlanini - Cavriano (24)";18
