"NIL (Nuclei di Identità Locale)";"Anno evento";"Nati"
"Moncucco - San Cristoforo (45)";"2017";109
"Moncucco - San Cristoforo (45)";"2018";110
"Moncucco - San Cristoforo (45)";"2019";99
"Moncucco - San Cristoforo (45)";"2020";115
"Moncucco - San Cristoforo (45)";"2021";109
"Moncucco - San Cristoforo (45)";"2022";88
"Moncucco - San Cristoforo (45)";"2023";106
"Barona (46)";"2003";104
"Barona (46)";"2004";109
"Barona (46)";"2005";109
"Barona (46)";"2006";121
"Barona (46)";"2007";96
"Barona (46)";"2008";105
"Barona (46)";"2009";106
"Barona (46)";"2010";103
"Barona (46)";"2011";87
"Barona (46)";"2012";88
"Barona (46)";"2013";87
"Barona (46)";"2014";98
"Barona (46)";"2015";86
"Barona (46)";"2016";102
"Barona (46)";"2017";129
"Barona (46)";"2018";82
"Barona (46)";"2019";97
"Barona (46)";"2020";102
"Barona (46)";"2021";110
"Barona (46)";"2022";118
"Barona (46)";"2023";93
"Cantalupa (47)";"2004";3
"Cantalupa (47)";"2005";10
"Cantalupa (47)";"2006";5
"Cantalupa (47)";"2007";12
"Cantalupa (47)";"2008";7
"Cantalupa (47)";"2009";6
"Cantalupa (47)";"2010";5
"Cantalupa (47)";"2011";5
"Cantalupa (47)";"2012";2
"Cantalupa (47)";"2013";7
"Cantalupa (47)";"2014";4
"Cantalupa (47)";"2015";1
"Cantalupa (47)";"2016";3
"Cantalupa (47)";"2017";3
"Cantalupa (47)";"2018";7
"Cantalupa (47)";"2019";9
"Cantalupa (47)";"2020";6
"Cantalupa (47)";"2021";4
"Cantalupa (47)";"2022";5
"Cantalupa (47)";"2023";3
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"2003";124
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"2004";114
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"2005";105
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"2006";113
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"2007";121
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"2008";104
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"2009";106
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"2010";110
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"2011";111
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"2012";100
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"2013";128
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"2014";119
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"2015";104
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"2016";86
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"2017";90
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"2018";71
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"2019";81
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"2020";87
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"2021";106
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"2022";86
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"2023";67
"Giambellino (49)";"2003";270
"Giambellino (49)";"2004";311
"Giambellino (49)";"2005";269
"Giambellino (49)";"2006";314
"Giambellino (49)";"2007";289
"Giambellino (49)";"2008";311
"Giambellino (49)";"2009";306
"Giambellino (49)";"2010";269
"Giambellino (49)";"2011";263
"Giambellino (49)";"2012";310
"Giambellino (49)";"2013";309
"Giambellino (49)";"2014";303
"Giambellino (49)";"2015";268
"Giambellino (49)";"2016";274
"Giambellino (49)";"2017";250
"Giambellino (49)";"2018";262
"Giambellino (49)";"2019";253
"Giambellino (49)";"2020";244
"Giambellino (49)";"2021";225
"Giambellino (49)";"2022";236
"Giambellino (49)";"2023";216
"Porta Genova (50)";"2003";155
"Porta Genova (50)";"2004";145
"Porta Genova (50)";"2005";155
"Porta Genova (50)";"2006";165
"Porta Genova (50)";"2007";155
"Porta Genova (50)";"2008";151
"Porta Genova (50)";"2009";141
"Porta Genova (50)";"2010";111
"Porta Genova (50)";"2011";117
