tipo_via;civico;CODICE_VIA;CAP;MUNICIPIO;ID_NIL;NIL;LONG_WGS84;LAT_WGS84;Location
VIA IPPODROMO;134;6492;20151;7;60;S. SIRO;9.11348119696;45.4845996615;45.4845996615, 9.11348119696
VIA IPPODROMO;135;6492;20151;7;60;S. SIRO;9.11330499152;45.4841354924;45.4841354924, 9.11330499152
VIA IPPODROMO;165;6492;20151;7;60;S. SIRO;9.11125214437;45.4858703777;45.4858703777, 9.11125214437
VIA MILESI BIANCA;14;6676;20152;7;56;FORZE ARMATE;9.10234990997;45.461998438;45.461998438, 9.10234990997
VIA NOVARA;286;6624;20153;7;88;Parco Bosco in città;9.10086926719;45.4804654818;45.4804654818, 9.10086926719
VIA NOVARA;290;6624;20153;7;88;Parco Bosco in città;9.10027586976;45.4807954542;45.4807954542, 9.10027586976
VIA NOVARA;300;6624;20153;7;88;Parco Bosco in città;9.09772854945;45.4817268077;45.4817268077, 9.09772854945
VIA NOVARA;342;6624;20153;7;88;Parco Bosco in città;9.09353305056;45.4823736452;45.4823736452, 9.09353305056
VIA NOVARA;451;6624;20153;7;88;Parco Bosco in città;9.08055981209;45.4858862164;45.4858862164, 9.08055981209
VIA NOVARA;525;6624;20153;7;63;FIGINO;9.07381796846;45.4885877771;45.4885877771, 9.07381796846
VIA NOVARA;558;6624;20153;7;63;FIGINO;9.06987261534;45.4892947281;45.4892947281, 9.06987261534
VIA NOVARA;570;6624;20153;7;63;FIGINO;9.06885440282;45.4890487399;45.4890487399, 9.06885440282
VIA NOVARA;590;6624;20153;7;88;Parco Bosco in città;9.06513787306;45.4886069289;45.4886069289, 9.06513787306
VIA BROGGINI BONAVENTURA;30;6700;20152;7;55;BAGGIO;9.09602768827;45.4653140656;45.4653140656, 9.09602768827
VIA BROGGINI BONAVENTURA;45;6700;20153;7;88;Parco Bosco in città;9.09442244737;45.4678386205;45.4678386205, 9.09442244737
VIA MUGGIANO;14;6715;20152;7;87;Parco Agricolo Sud;9.07030596623;45.4482118403;45.4482118403, 9.07030596623
VIA MUGGIANO;18/10;6715;20152;7;87;Parco Agricolo Sud;9.07333362022;45.4446293396;45.4446293396, 9.07333362022
VIA MUGGIANO;18/11;6715;20152;7;87;Parco Agricolo Sud;9.07472626044;45.4455449555;45.4455449555, 9.07472626044
VIA MUGGIANO;50;6715;20152;7;87;Parco Agricolo Sud;9.07737899625;45.4493125276;45.4493125276, 9.07737899625
